Title,Topic,Timestamp,Link
فاروق عبداللہ کے بیان پر تنازع: ’پاکستان سے بات چیت نہیں کی گئی تو کشمیر کا حشر غزہ جیسا ہوگا‘,آس پاس,2023-12-19,https://www.bbc.com/urdu/articles/ce5j33xyj60o
بیوی کے ساتھ غیرفطری انداز میں سیکس کرنے پر شوہر کو 9 سال قید بامشقت، تشدد کے الزام میں ساس، سسر اور نند کو بھی سزائیں,آس پاس,2023-12-19,https://www.bbc.com/urdu/articles/c4nykd8w0ego
نریندر مودی کا سالانہ اجلاس میں شرکت کے لیے روس نہ جانا کیا ظاہر کرتا ہے؟,آس پاس,2023-12-19,https://www.bbc.com/urdu/articles/cjjgqxwz9vzo
شام میں قاسم سلیمانی کے ساتھی ایرانی کمانڈر ’فضائی حملے میں ہلاک‘، ایران کی اسرائیل کو جواب دینے کی دھمکی,آس پاس,2023-12-19,https://www.bbc.com/urdu/articles/cz79l9n45xdo
انسانی سمگلنگ کا شبہ: انڈین مسافروں سے بھرا طیارہ فرانس میں جانچ کے بعد ممبئی پہنچ گیا,آس پاس,2023-12-19,https://www.bbc.com/urdu/articles/c0wyz4yyv54o
جنس تبدیل کروا کر مرد بننے والی دوست جس نے یکطرفہ محبت میں بچپن کی سہیلی کو ہی قتل کر دیا,آس پاس,2023-12-19,https://www.bbc.com/urdu/articles/c0ky19vgjjyo
پوسٹ مارٹم کے دوران لاشوں کے ٹکڑے کرنے والی  حاملہ ورالو: ’لوگ کہتے ہیں ایسی حالت میں لاش کو مت چُھونا‘,آس پاس,2023-12-19,https://www.bbc.com/urdu/articles/cnerwkj9l83o
ایران سے آنے والے ڈرون نے انڈیا کے ساحل کے قریب کیمیکل ٹینکر کو نشانہ بنایا: امریکہ,آس پاس,2023-12-19,https://www.bbc.com/urdu/articles/c51zgd2e3dzo
’ساحر آسمان اور امروز میرے گھر کی چھت ہے‘ امریتا اور امروز جو کئی برس ایک ہی چھت کے نیچے الگ الگ کمروں میں رہے,آس پاس,2023-12-19,https://www.bbc.com/urdu/articles/cerld9873zro
آسام میں 1281 مدارس ’مڈل انگلش سکولز‘ میں تبدیل: ’حکومت کہتی ہے کہ سرکاری پیسے سے مذہبی تعلیم نہیں دی جا سکتی‘,آس پاس,2023-12-19,https://www.bbc.com/urdu/articles/c2qy5wdzg5go
انڈیا کا دیہات جہاں لوگ ڈائنوسار کے انڈوں کو دیوتا سمجھ کر پوجا کرتے رہے,آس پاس,2023-12-19,https://www.bbc.com/urdu/articles/c0xygw9xqwno
ڈنکی: ’امریکہ جانے کے لیے 33 لاکھ روپے ضائع کیے، زمین بیچ دی اور کئی ماہ جیل میں گزارے لیکن اب اپنے ملک میں رہنا چاہتا ہوں‘,آس پاس,2023-12-19,https://www.bbc.com/urdu/articles/cl508g7zj2jo
کینیڈا سے خفا لیکن امریکہ کو یقین دہانیاں، کیا امریکہ میں سکھ رہنما کے قتل کی سازش کا معاملہ انڈیا کے لیے مصیبت بن سکتا ہے؟,آس پاس,2023-12-19,https://www.bbc.com/urdu/articles/c03y1jn9ne0o
کیا انڈین فلم انڈسٹری مصنوعی ذہانت کو اپنانے کے لیے تیار ہے؟,آس پاس,2023-12-19,https://www.bbc.com/urdu/articles/c9r2gvx9y6qo
جنسی ہراسانی کے ملزم برج بھوشن کے قریبی ساتھی انڈین ریسلنگ فیڈریشن کے نئے صدر: ساکشی ملک نے ریسلنگ کو ہی خیرباد کہہ دیا,آس پاس,2023-12-19,https://www.bbc.com/urdu/articles/c4ny0qj14yro
50 روپے تنخواہ پر ملازمت کرنے والے چکوال کے موہن سنگھ جو دنیا بھر میں 35 لگژری ہوٹلوں کے مالک بنے,آس پاس,2023-12-19,https://www.bbc.com/urdu/articles/czv58ej7w5no
’آپ کی کھڑکی سے میرا صحن نظر آتا ہے۔۔۔‘ وہ شہری جسے اپنے گھر کی کھڑکی کھولنے کے لیے برسوں انتظار کرنا پڑا,آس پاس,2023-12-19,https://www.bbc.com/urdu/articles/czkjl8pjzepo
مندر کے آثار تلاش کرنے کا ’سائنسی سروے‘ روکنے کی درخواست مسترد، گیان واپی مسجد کا تنازع آخر ہے کیا,آس پاس,2023-12-19,https://www.bbc.com/urdu/articles/c28yx8wy17mo
