Title,Topic,Timestamp,Link
غزہ جنگ کا اگلا مرحلہ: امریکہ نے اسرائیل کے لیے کیا ’ریڈ لائن‘ واضح کی ہیں؟,فلسطین,2023-11-18,https://www.bbc.com/urdu/articles/c0v22yjrx8eo
’وہ ہم پر اپنے کتے چھوڑ دیتے، ہمارے ہاتھ پیر توڑتے‘: رہائی پانے والے فلسطینی قیدیوں کا اسرائیل پر تشدد کا الزام,فلسطین,2023-11-18,https://www.bbc.com/urdu/articles/c1d2259lj0ko
اسرائیل، حماس جنگ بندی کا ثالث: قطر کے پاس کون سی جادو کی چھڑی ہے؟,فلسطین,2023-11-18,https://www.bbc.com/urdu/articles/cd1pmpl165vo
"ویڈیو, قطر کے پاس ایسا کیا ہے کہ اُس نے اسرائیل اور حماس کے درمیان معاہدہ کروا دیا؟دورانیہ, 6,33",فلسطین,2023-11-18,https://www.bbc.com/urdu/articles/c51exl4rv4po
’تمام عرب اور مسلمان اس وقت کہاں ہیں؟ آپ نے فلسطینی عوام کو تباہ ہونے کے لیے چھوڑ دیا ہے‘، غزہ کی ایک خاتون کی دہائی,فلسطین,2023-11-18,https://www.bbc.com/urdu/articles/ckdp91jq5qjo
تین سال کی عسکری مشقیں: حماس نے اسرائیل پر حملے کے لیے کس طرح مسلح گروہوں کو اکٹھا کر کے ایک بڑی فورس بنائی؟,فلسطین,2023-11-18,https://www.bbc.com/urdu/articles/c3g2z0jvyz3o
"ویڈیو, وہ لمحہ جب رہا ہونے والی فلسطینی قیدی اپنے خاندان سے ملیںدورانیہ, 1,29",فلسطین,2023-11-18,https://www.bbc.com/urdu/articles/czq2eyq07p4o
اسلاموفوبیا اور بیرونِ ملک مقیم پاکستانی: ’گھر والے فلسطین کے حق میں بات کرنے سے روکتے ہیں کیونکہ ابھی شہریت نہیں ملی‘,فلسطین,2023-11-18,https://www.bbc.com/urdu/articles/crgp0z20gg3o
اسرائیل کا وہ محاذِ جنگ جو دنیا کی نظروں سے اوجھل ہے,فلسطین,2023-11-18,https://www.bbc.com/urdu/articles/czq2y54qy23o
اسرائیل کی جنگ کے ’فیصلہ کن‘ اگلے مرحلے کی تیاری، عارضی جنگ بندی کی مدت ختم ہونے کے بعد کیا ہوگا؟,فلسطین,2023-11-18,https://www.bbc.com/urdu/articles/cnep0yev8wyo
حماس نے ’خدشات دور ہونے پر‘ مزید 13 اسرائیلی اور چار تھائی یرغمالی رہا کر دیے,فلسطین,2023-11-18,https://www.bbc.com/urdu/articles/c9r6xq7zl4ko
اسرائیل کی قید سے رہا ہونے والے فلسطینی: ’قید تنہائی میں رکھا گیا ۔۔۔ خدا پر ایمان ہو تو سب کچھ آسان ہو جاتا ہے‘,فلسطین,2023-11-18,https://www.bbc.com/urdu/articles/c6p6dpw66xqo
